,pos,player,Guaranteed
416,PG,Marcus Smart,"$60,630,852"
158,SG,Desmond Bane,"$201,075,533"
300,SF,John Konchar,"$20,895,000"
536,PF,Santi Aldama,"$6,154,731"
274,C,Jaren Jackson Jr.,"$75,773,395"
622,SG,Vince Williams Jr.,"$6,654,588"
196,PF,GG Jackson II,"$6,104,962"
636,SF,Ziaire Williams,"$10,943,205"
401,SG,Luke Kennard,"$14,763,636"
253,PF,Jake LaRavia,"$6,552,600"
156,PG,Derrick Rose,"$6,552,719"
238,PG,Ja Morant,"$197,230,450"
54,PF,Brandon Clarke,"$50,000,000"
243,SF,Jack White,"$600,000"
