seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,Rk,Tm,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
31136,2024,5025,A.J. Green,,SG,24.0,2,NBA,MIL,56,614.0,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,427,MIL,"$1,901,769","$2,120,693","$2,301,587",,,,"$1,901,769"
31138,2024,5027,AJ Griffin,,SF,20.0,2,NBA,ATL,20,171.0,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,284,ATL,"$3,712,920","$3,889,920","$5,967,137",,,,"$7,602,840"
31139,2024,4219,Aaron Gordon,,PF,28.0,10,NBA,DEN,73,2297.0,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,67,DEN,"$22,266,182","$23,841,455","$23,841,455",,,,"$46,107,637"
31140,2024,4582,Aaron Holiday,,PG,27.0,6,NBA,HOU,78,1269.0,11.5,0.578,0.52,0.151,1.9,8.5,5.2,15.4,1.6,0.4,10.6,16.7,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2,407,HOU,"$2,019,706",,,,,,
31141,2024,4805,Aaron Nesmith,,SF,24.0,4,NBA,IND,72,1995.0,12.8,0.631,0.526,0.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,229,IND,"$5,634,257","$11,000,000","$11,000,000","$11,000,000",,,"$38,634,257"
31142,2024,4900,Aaron Wiggins,,SG,25.0,3,NBA,OKC,78,1228.0,15.6,0.664,0.334,0.188,5.7,11.0,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8,434,OKC,"$1,836,096","$1,988,598",,,,,
31146,2024,3734,Al Horford,,C,37.0,17,NBA,BOS,65,1740.0,15.0,0.65,0.616,0.072,5.3,19.7,12.8,12.3,1.1,3.1,10.0,12.0,3.5,2.7,6.2,0.172,1.7,2.0,3.6,2.5,157,BOS,"$10,000,000","$9,500,000",,,,,"$19,500,000"
31147,2024,3982,Alec Burks,,SG,32.0,13,NBA,TOT,66,1212.0,12.9,0.536,0.58,0.293,2.2,11.8,6.9,10.7,1.1,0.9,7.0,24.4,0.7,0.7,1.4,0.054,-0.3,-2.0,-2.3,-0.1,153,NYK,"$10,489,600",,,,,,"$10,489,600"
31148,2024,3982,Alec Burks,,SG,32.0,13,NBA,DET,43,901.0,15.1,0.581,0.608,0.33,1.9,11.8,6.8,11.2,1.1,1.0,6.4,23.5,1.3,0.4,1.7,0.092,1.3,-1.7,-0.4,0.4,153,NYK,"$10,489,600",,,,,,"$10,489,600"
31149,2024,3982,Alec Burks,,SG,32.0,13,NBA,NYK,23,311.0,6.5,0.42,0.509,0.202,2.9,11.6,7.2,9.2,1.1,0.3,8.3,26.9,-0.6,0.3,-0.4,-0.055,-4.9,-3.0,-7.8,-0.5,153,NYK,"$10,489,600",,,,,,"$10,489,600"
31150,2024,4806,Aleksej Pokusevski,,PF,22.0,4,NBA,TOT,28,405.0,12.7,0.525,0.455,0.339,4.6,20.4,12.3,12.0,1.8,3.0,12.0,17.2,0.0,0.4,0.4,0.05,-1.8,-0.1,-1.9,0.0,242,OKC,"$5,009,633",,,,,,"$5,009,633"
31151,2024,4806,Aleksej Pokusevski,,PF,22.0,4,NBA,OKC,10,60.0,2.5,0.338,0.688,0.25,3.9,14.3,9.3,9.7,0.8,1.5,14.5,15.0,-0.1,0.1,-0.1,-0.063,-7.7,-2.2,-9.9,-0.1,242,OKC,"$5,009,633",,,,,,"$5,009,633"
31152,2024,4806,Aleksej Pokusevski,,PF,22.0,4,NBA,CHO,18,345.0,14.5,0.552,0.419,0.352,4.7,21.5,12.9,12.4,2.0,3.2,11.7,17.6,0.2,0.3,0.5,0.07,-0.8,0.3,-0.5,0.1,242,OKC,"$5,009,633",,,,,,"$5,009,633"
31153,2024,4465,Alex Caruso,,SG,29.0,7,NBA,CHI,71,2040.0,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3,167,CHI,"$9,460,000","$9,890,000",,,,,"$19,350,000"
31157,2024,4142,Alex Len,,C,30.0,11,NBA,SAC,48,444.0,14.7,0.625,0.037,0.42,11.3,21.2,16.1,14.4,1.2,6.8,22.0,11.8,0.6,0.7,1.3,0.138,-2.7,2.9,0.2,0.2,375,SAC,"$2,019,706",,,,,,"$2,019,706"
31159,2024,4904,Alperen Sengun,,C,21.0,3,NBA,HOU,63,2046.0,22.0,0.585,0.113,0.358,9.5,21.5,15.4,25.2,1.8,2.1,12.5,27.0,3.8,3.1,6.9,0.163,3.1,1.7,4.9,3.5,288,HOU,"$3,536,280","$5,424,654",,,,,"$8,960,934"
31161,2024,5113,Amen Thompson,,SF,21.0,1,NBA,HOU,62,1388.0,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,176,HOU,"$8,809,320","$9,249,960","$9,690,600","$12,258,609",,,"$18,059,280"
31162,2024,4690,Amir Coffey,,SF,26.0,5,NBA,LAC,70,1460.0,10.0,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1.0,2.6,0.084,-1.9,-0.3,-2.2,-0.1,287,LAC,"$3,666,667","$3,938,271",,,,,"$7,604,938"
31163,2024,4064,Andre Drummond,,C,30.0,12,NBA,CHI,79,1351.0,23.0,0.576,0.006,0.454,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,2.3,2.6,4.9,0.175,0.8,-0.7,0.1,0.7,292,CHI,"$3,360,000",,,,,,"$3,360,000"
31164,2024,5114,Andre Jackson Jr.,,SG,22.0,1,NBA,MIL,57,572.0,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10.0,0.5,0.5,1.0,0.081,-3.6,0.0,-3.6,-0.2,467,MIL,"$1,119,563","$1,891,857","$2,221,677","$2,406,205",,,"$1,119,563"
31166,2024,5029,Andrew Nembhard,,PG,24.0,2,NBA,IND,68,1697.0,11.3,0.573,0.328,0.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,1.3,0.7,2.0,0.057,-1.6,-0.5,-2.2,-0.1,366,IND,"$2,131,905","$2,019,699","$2,187,451",,,,"$4,151,604"
31167,2024,4223,Andrew Wiggins,,SF,28.0,10,NBA,GSW,71,1920.0,12.7,0.544,0.326,0.242,6.2,11.8,9.0,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3,59,GSW,"$24,330,357","$26,276,786","$28,223,215","$30,169,644",,,"$78,830,358"
31168,2024,4586,Anfernee Simons,,SG,24.0,6,NBA,POR,46,1582.0,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28.0,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8,60,POR,"$24,107,143","$25,892,857","$27,678,571",,,,"$77,678,571"
31169,2024,5116,Anthony Black,,PG,20.0,1,NBA,ORL,69,1164.0,8.4,0.56,0.381,0.324,3.3,10.8,7.0,10.6,1.5,1.7,16.6,12.7,0.1,1.5,1.6,0.067,-3.8,0.8,-3.0,-0.3,199,ORL,"$7,245,480","$7,607,760","$7,970,280","$10,106,316",,,"$14,853,240"
31170,2024,4066,Anthony Davis,,C,30.0,12,NBA,LAL,76,2700.0,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,15,LAL,"$40,600,080","$43,219,440","$60,507,216","$65,347,793","$70,188,370",,"$279,862,899"
31171,2024,4808,Anthony Edwards,,SG,22.0,4,NBA,MIN,79,2770.0,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,115,MIN,"$13,534,817","$35,500,000","$38,340,000","$41,180,000","$44,020,000","$46,860,000","$219,434,817"
31172,2024,4809,Anthony Gill,,PF,31.0,4,NBA,WAS,50,466.0,12.1,0.537,0.256,0.225,8.3,13.4,10.8,10.0,1.3,1.9,11.6,18.0,0.1,0.2,0.4,0.038,-2.6,-1.5,-4.1,-0.3,415,WAS,"$1,997,238",,,,,,"$1,997,238"
31174,2024,4812,Ashton Hagans,,PG,24.0,2,NBA,POR,19,316.0,8.5,0.51,0.352,0.239,4.7,11.7,8.0,23.7,1.7,2.6,27.7,14.6,-0.2,0.3,0.0,0.006,-4.4,0.9,-3.5,-0.1,497,POR,"$103,550",,,,,,"$103,550"
31175,2024,5117,Ausar Thompson,,SF,21.0,1,NBA,DET,63,1583.0,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,189,DET,"$7,977,480","$8,376,000","$8,775,000","$11,117,925",,,"$16,353,480"
31176,2024,4906,Austin Reaves,,SG,25.0,3,NBA,LAL,82,2629.0,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,132,LAL,"$12,015,150","$12,976,362","$13,937,574","$14,898,786",,,"$38,929,086"
31177,2024,4907,Ayo Dosunmu,,SG,24.0,3,NBA,CHI,76,2212.0,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7,213,CHI,"$6,481,482","$7,000,000","$7,518,518",,,,"$21,000,000"
31178,2024,4472,Bam Adebayo,,C,26.0,7,NBA,MIA,71,2416.0,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,38,MIA,"$32,600,060","$34,848,340","$37,096,620",,,,"$104,545,020"
31179,2024,5118,Ben Sheppard,,SG,22.0,1,NBA,IND,57,814.0,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.3,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3,331,IND,"$2,537,160","$2,663,880","$2,790,720","$5,031,669",,,"$5,201,040"
31180,2024,4474,Ben Simmons,,PG,27.0,6,NBA,BRK,15,359.0,16.3,0.571,0.0,0.203,9.2,27.6,18.1,33.2,1.7,2.3,25.1,13.0,0.5,0.5,1.0,0.133,-0.5,2.9,2.4,0.4,20,BRK,"$37,893,408","$40,338,144",,,,,"$78,231,552"
31181,2024,5030,Bennedict Mathurin,,SF,21.0,2,NBA,IND,59,1538.0,13.0,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,202,IND,"$6,916,080","$7,245,720","$9,187,573",,,,"$14,161,800"
31182,2024,5119,Bilal Coulibaly,,SF,19.0,1,NBA,WAS,63,1715.0,8.9,0.543,0.428,0.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,209,WAS,"$6,614,280","$6,945,240","$7,275,600","$9,240,012",,,"$13,559,520"
